id,language,type,citation,doi_or_url,field_relevance,terminology_evidence,access_note
zh01,zh,review,"刘洋. 神经机器翻译前沿进展. 自动化学报, 2017.",https://crad.ict.ac.cn/cn/article/doi/10.7544/issn1000-1239.2017.20160805,"Foundational Chinese NMT review.","机器翻译; 神经机器翻译; 编码器; 解码器.",Publisher abstract verified
zh02,zh,review,"冯洋等. 神经机器翻译前沿综述. 中文信息学报, 2020, 34(7).",https://nlp.ict.ac.cn/lwlz/fblw/lw2020/202212/W020221223638699229839.pdf,"Chinese survey of current NMT directions including Transformer.","神经机器翻译; Transformer; 多模态机器翻译.",Publisher-hosted PDF metadata verified
zh03,zh,review,"石磊等. 自然语言处理中的注意力机制研究综述. 信息技术与信息化, 2020(5).",https://manu44.magtech.com.cn/Jwk_infotech_wk3/article/2020/2096-3467/2096-3467-4-5-1.shtml,"Chinese review of attention mechanisms in NLP and NMT.","注意力机制; 词对齐; 自注意力.",Publisher abstract verified
zh04,zh,review,"苏劲松, 陈骏轩, 陆紫耀, 董怡帆, 康立言, 张海英. 篇章神经机器翻译综述. 情报工程, 2020, 6(5):4-14.",https://journals.istic.ac.cn/qbgc/ch/reader/view_abstract.aspx?file_no=202005001,"Chinese document-level NMT survey.","篇章神经机器翻译; 上下文建模; 模型训练.",Publisher record verified
zh05,zh,review,"吕星林, 李军辉, 陶仕敏, 杨浩, 张民. 文档级神经机器翻译综述. 软件学报, 2025, 36(1):152-183.",https://www.jos.org.cn/jos/article/abstract/7217,"Recent Chinese document-level NMT survey.","文档级神经机器翻译; 源语言; 目标语言; 篇章语境.",Publisher record and DOI verified
zh06,zh,review,"哈里旦木·阿布都克里木, 侯钰涛, 姚登峰, 阿布都克力木·阿布力孜, 陈吉尚. 维吾尔语机器翻译研究综述. 计算机工程, 2024, 50(1):1-16.",https://www.ecice06.com/CN/10.19678/j.issn.1000-3428.0068124,"Chinese low-resource MT review.","低资源语言; 神经机器翻译; 语料库.",Publisher record verified
zh07,zh,review,"廖兴滨, 秦小林, 张思齐, 钱杨舸. 交互式机器翻译综述. 计算机应用, 2023, 43(2):329-334.",https://www.joca.cn/CN/10.11772/j.issn.1001-9081.2021122067,"Chinese review linking NMT with human post-editing.","交互式机器翻译; 候选译文; 后期编辑.",Publisher record verified
zh08,zh,review,"曹智泉, 穆永誉, 肖桐, 李北, 张春良, 朱靖波. 预训练神经机器翻译研究进展分析. 中文信息学报, 2024, 38(6).",https://www.sinomed.ac.cn/article.do?ui=2024418692,"Chinese review of pretrained NMT.","预训练模型; 双语数据; 单语数据; 神经机器翻译.",Publisher-index record verified
zh09,zh,review,"马潇, 田永红, 赵伟. 基于神经网络的机器翻译研究综述. 计算机工程与应用, 2025, 61(22):36-54.",https://opaj.napstic.cn/periodicalArticle/0120251200902879,"Recent Chinese review of NMT and Transformer variants.","Transformer; 参数微调; 多语言机器翻译; 低资源语言翻译.",National journal platform record verified
zh10,zh,article,"周成彬, 刘忠宝. 基于语义信息共享 Transformer 的古文机器翻译方法. 情报工程, 2022, 8(6):114-127.",https://journals.istic.ac.cn/qbgc/ch/reader/view_abstract.aspx?file_no=202206010,"Chinese Transformer MT application with bilingual keywords.","Transformer 模型; 词表; 嵌入层; BLEU.",Publisher record and DOI verified
en01,en,article,"Vaswani, A. et al. Attention Is All You Need. NeurIPS, 2017.",https://proceedings.neurips.cc/paper_files/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,"Primary source for the demonstration.","Transformer; self-attention; multi-head attention; positional encoding.",Official proceedings record
en02,en,article,"Bahdanau, D., Cho, K., Bengio, Y. Neural Machine Translation by Jointly Learning to Align and Translate. ICLR, 2015.",https://arxiv.org/abs/1409.0473,"Foundational attention-based NMT work.","attention mechanism; alignment; encoder-decoder.",Open preprint record
en03,en,article,"Sutskever, I., Vinyals, O., Le, Q. V. Sequence to Sequence Learning with Neural Networks. NeurIPS, 2014.",https://proceedings.neurips.cc/paper/2014/hash/5a18e133cbf9f257297f410bb7eca942-Abstract.html,"Foundational sequence transduction terminology.","sequence to sequence; encoder; decoder.",Official proceedings record
en04,en,article,"Luong, M.-T., Pham, H., Manning, C. D. Effective Approaches to Attention-based Neural Machine Translation. EMNLP, 2015.",https://aclanthology.org/D15-1166/,"Canonical attention-based NMT terminology.","global attention; local attention; alignment.",ACL Anthology record
en05,en,article,"Wu, Y. et al. Google’s Neural Machine Translation System: Bridging the Gap between Human and Machine Translation. 2016.",https://arxiv.org/abs/1609.08144,"Large-scale NMT system terminology and evaluation context.","neural machine translation; production system; BLEU.",Open preprint record
en06,en,article,"Ott, M. et al. Scaling Neural Machine Translation. WMT, 2018.",https://aclanthology.org/W18-6301/,"Training-scale and back-translation terminology.","back-translation; training data; model capacity.",ACL Anthology record
en07,en,article,"Edunov, S. et al. Understanding Back-Translation at Scale. EMNLP, 2018.",https://aclanthology.org/D18-1045/,"NMT data augmentation terminology.","back-translation; synthetic data; parallel data.",ACL Anthology record
en08,en,review,"Stahlberg, F. Neural Machine Translation: A Review. Journal of Artificial Intelligence Research, 2020.",https://arxiv.org/abs/1912.02047,"Broad NMT review for preferred English conventions.","neural machine translation; decoding; beam search.",Open preprint record
en09,en,review,"Dabre, R., Chu, C., Kunchukuttan, A. A Comprehensive Survey of Multilingual Neural Machine Translation. ACM Computing Surveys, 2020.",https://arxiv.org/abs/2001.01115,"Multilingual NMT terminology.","multilingual neural machine translation; language pair; zero-shot translation.",Open preprint record
en10,en,review,"Zhang, Y. et al. Neural Machine Translation: Challenges, Progress and Future. 2020.",https://arxiv.org/abs/2004.05809,"Recent review of NMT challenges and terminology.","neural machine translation; low-resource; domain adaptation.",Open preprint record
